,Clearances,Interceptions,Tackles,Aerials won,Duels won,Possession lost,Dribbles,Crosses,Long balls,Accurate passes,Passes,Goalkeeper saves,Shots outside box,Shots inside box,Big chances,Yellow cards,Fouls,Offsides,Corner kicks,Blocked shots,Shots off target,Shots on target,Total shots,Ball possession,Counter attack shots,Counter attacks,Big chances missed,Hit woodwork,Counter attack goals,Red cards,Results
count,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
mean,13.842105263157896,11.105263157894736,13.526315789473685,13.578947368421053,51.21052631578947,132.10526315789474,0.5789473684210527,0.16526315789473686,0.5168421052631578,0.8473684210526314,520.1578947368421,2.6315789473684212,7.105263157894737,7.052631578947368,1.5789473684210527,2.5789473684210527,14.578947368421053,1.631578947368421,6.052631578947368,3.789473684210526,6.0,4.368421052631579,14.157894736842104,0.596842105263158,0.15789473684210525,0.21052631578947367,0.8421052631578947,0.3157894736842105,0.05263157894736842,0.0,-0.10526315789473684
std,8.17355599135772,3.740094128971523,4.8000974648974175,4.902559302986375,9.229054046677332,15.473614591879034,0.12862066262386135,0.072829208201459,0.11981711209538143,0.056944622735421925,100.98694258714546,1.9209524927837656,3.0348848933344197,3.8797721039962347,1.261207070569223,1.6095475373078614,4.324552507019068,1.065130472748108,3.5819560796756216,2.820144743496157,3.1446603773522015,2.2903305514898324,5.336073857296797,0.0972426879044239,0.37463432463267754,0.5353033790313105,1.067872125861979,0.5823927253578186,0.22941573387056172,0.0,0.809302638222512
min,1.0,5.0,7.0,4.0,37.0,96.0,0.4,0.0,0.32,0.66,271.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,3.0,1.0,6.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
25%,9.0,8.0,10.0,10.5,44.5,126.5,0.475,0.11499999999999999,0.42,0.835,464.5,1.0,5.5,4.5,1.0,1.5,12.0,1.0,4.0,2.0,4.0,2.0,11.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
50%,11.0,12.0,13.0,13.0,49.0,130.0,0.53,0.16,0.52,0.86,503.0,2.0,7.0,6.0,1.0,2.0,14.0,2.0,5.0,3.0,5.0,5.0,12.0,0.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75%,19.0,13.0,16.0,15.5,57.0,141.0,0.6799999999999999,0.215,0.6,0.885,577.5,3.5,8.5,8.5,2.0,3.0,17.5,2.5,7.5,6.0,6.5,5.0,18.0,0.67,0.0,0.0,1.0,0.5,0.0,0.0,0.5
max,33.0,21.0,25.0,23.0,69.0,169.0,0.83,0.33,0.72,0.92,703.0,7.0,14.0,19.0,4.0,6.0,22.0,3.0,15.0,11.0,16.0,9.0,29.0,0.75,1.0,2.0,3.0,2.0,1.0,0.0,1.0
